Frame,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
186,0.258,1.4148,1.0148,0.2912,-0.1251,-0.0116,0.9484
187,0.2471,1.4254,1.0111,0.2791,-0.1383,-0.012,0.9502
188,0.2394,1.4455,1.0064,0.2489,-0.1473,-0.0142,0.9572
189,0.2357,1.4704,1.0004,0.2095,-0.1511,-0.0179,0.9659
190,0.2364,1.494,0.9936,0.1723,-0.1477,-0.0194,0.9737
1,0.7087,1.5671,0.1634,-0.0835,-0.1388,-0.0327,0.9863
2,0.7128,1.5704,0.1637,-0.0952,-0.1305,-0.0354,0.9862
3,0.7163,1.5727,0.1647,-0.1028,-0.1232,-0.0377,0.9863
4,0.7202,1.5743,0.1656,-0.108,-0.1131,-0.04,0.9869
5,0.7249,1.5754,0.1667,-0.1123,-0.0987,-0.0419,0.9879
6,0.7297,1.5766,0.1672,-0.1183,-0.0818,-0.0435,0.9886
7,0.7354,1.5777,0.1674,-0.1247,-0.0612,-0.045,0.9893
8,0.742,1.5782,0.1671,-0.1286,-0.0345,-0.0449,0.9901
9,0.7482,1.5773,0.1664,-0.1257,-0.0095,-0.0432,0.9911
10,0.7523,1.5765,0.1656,-0.1231,0.0059,-0.0398,0.9916
11,0.7544,1.5758,0.164,-0.1213,0.0135,-0.0377,0.9918
12,0.7548,1.5747,0.1617,-0.1185,0.0211,-0.034,0.9921
13,0.7543,1.5739,0.1588,-0.116,0.0328,-0.0309,0.9922
14,0.7513,1.5741,0.1551,-0.1173,0.0434,-0.0305,0.9917
15,0.7461,1.5739,0.1523,-0.1157,0.0501,-0.0315,0.9915
16,0.7368,1.5728,0.1486,-0.1116,0.0609,-0.0324,0.9913
17,0.7267,1.5708,0.1454,-0.1085,0.0743,-0.0332,0.9908
18,0.7178,1.5684,0.1409,-0.105,0.0887,-0.0361,0.9898
19,0.7127,1.5662,0.1363,-0.1034,0.0962,-0.0367,0.9893
20,0.712,1.566,0.13,-0.1003,0.0989,-0.0357,0.9894
21,0.7168,1.5671,0.1243,-0.1001,0.0927,-0.0328,0.9901
22,0.7286,1.5688,0.1208,-0.1031,0.0842,-0.0318,0.9906
23,0.7464,1.5726,0.1197,-0.1066,0.074,-0.0313,0.991
24,0.7709,1.5729,0.1207,-0.1083,0.0645,-0.0356,0.9914
25,0.7954,1.5708,0.1248,-0.109,0.0554,-0.0378,0.9918
26,0.8176,1.5653,0.1277,-0.1005,0.0474,-0.0447,0.9928
27,0.835,1.5616,0.1295,-0.0961,0.047,-0.0647,0.9922
28,0.8415,1.5632,0.1299,-0.0971,0.0543,-0.0705,0.9913
29,0.8399,1.5639,0.1306,-0.1007,0.0593,-0.0738,0.9904
30,0.8303,1.5636,0.1318,-0.0977,0.0653,-0.0784,0.99
31,0.8167,1.5646,0.1322,-0.0944,0.0728,-0.0782,0.9898
32,0.8025,1.5654,0.1314,-0.0953,0.0765,-0.0746,0.9897
33,0.7908,1.5671,0.1308,-0.0972,0.0782,-0.0725,0.9895
34,0.7774,1.5667,0.1307,-0.0976,0.0807,-0.0648,0.9898
35,0.7676,1.5655,0.1315,-0.0967,0.0805,-0.0616,0.9901
36,0.7592,1.5647,0.1323,-0.0926,0.0811,-0.0581,0.9907
37,0.7522,1.5648,0.1329,-0.0934,0.0806,-0.0555,0.9908
38,0.7474,1.5656,0.1323,-0.0981,0.0781,-0.0561,0.9905
39,0.745,1.5657,0.1301,-0.0995,0.0821,-0.0582,0.9899
40,0.7443,1.5666,0.126,-0.1049,0.0885,-0.0606,0.9887
41,0.7446,1.5674,0.1207,-0.1093,0.094,-0.0624,0.9876
42,0.7454,1.5679,0.115,-0.1134,0.0965,-0.0648,0.9867
43,0.7452,1.5686,0.1099,-0.1177,0.0976,-0.0669,0.986
44,0.742,1.5697,0.1043,-0.1245,0.0988,-0.0637,0.9852
45,0.7371,1.5726,0.0998,-0.1353,0.1004,-0.0626,0.9837
46,0.7298,1.5741,0.0948,-0.1424,0.1064,-0.0609,0.9822
47,0.7196,1.5724,0.0902,-0.1365,0.1121,-0.0577,0.9826
48,0.709,1.5695,0.0867,-0.1306,0.1145,-0.0557,0.9832
49,0.6981,1.5664,0.083,-0.127,0.1175,-0.0542,0.9834
50,0.6874,1.5641,0.0793,-0.1256,0.1214,-0.0537,0.9832
51,0.6769,1.5623,0.0773,-0.1263,0.1262,-0.0543,0.9824
